n,steps,center
33,10,0.0000
33,20,0.0000
33,50,0.1331
33,100,2.3245
33,200,9.7999
33,500,21.3784
33,1000,24.6758
33,2000,24.9974
33,5000,25.0000
33,10000,25.0000
33,20000,25.0000
33,50000,25.0000
33,100000,25.0000
65,10,0.0000
65,20,0.0000
65,50,0.0000
65,100,0.0005
65,200,0.1362
65,500,4.1205
65,1000,12.9267
65,2000,21.3635
65,5000,24.9022
65,10000,24.9998
65,20000,25.0000
65,50000,25.0000
65,100000,25.0000
129,10,0.0000
129,20,0.0000
129,50,0.0000
129,100,0.0000
129,200,0.0000
129,500,0.0051
129,1000,0.4188
129,2000,4.1154
129,5000,16.0275
129,10000,23.0070
129,20000,24.9020
129,50000,25.0000
129,100000,25.0000
