variant,run,step,seconds,percent
insertion,1,generate,0.0180,7.8
insertion,1,smooth,0.0832,35.9
insertion,1,sort,0.1254,54.1
insertion,1,summarize,0.0050,2.2
qsort,1,generate,0.0182,16.6
qsort,1,smooth,0.0824,75.1
qsort,1,sort,0.0041,3.7
qsort,1,summarize,0.0050,4.5
insertion,2,generate,0.0180,7.9
insertion,2,smooth,0.0823,35.9
insertion,2,sort,0.1236,54.0
insertion,2,summarize,0.0051,2.2
qsort,2,generate,0.0187,17.0
qsort,2,smooth,0.0826,74.7
qsort,2,sort,0.0041,3.7
qsort,2,summarize,0.0052,4.7
insertion,3,generate,0.0183,8.0
insertion,3,smooth,0.0823,35.9
insertion,3,sort,0.1229,53.7
insertion,3,summarize,0.0055,2.4
qsort,3,generate,0.0171,15.7
qsort,3,smooth,0.0826,75.9
qsort,3,sort,0.0041,3.7
qsort,3,summarize,0.0051,4.7
