n,steps,rep,seconds
64,260145,1,0.721359
64,260145,2,0.724574
64,260145,3,0.720026
96,113173,1,0.716642
96,113173,2,0.719713
96,113173,3,0.726844
128,62988,1,0.715444
128,62988,2,0.712489
128,62988,3,0.714168
192,27700,1,0.832315
192,27700,2,0.834257
192,27700,3,0.721283
256,15500,1,0.785369
256,15500,2,0.712995
256,15500,3,0.714256
384,6852,1,0.743483
384,6852,2,0.729416
384,6852,3,0.797770
512,3844,1,0.747460
512,3844,2,0.742004
512,3844,3,0.771514
768,1704,1,0.952255
768,1704,2,0.995980
768,1704,3,0.951328
1024,957,1,1.049596
1024,957,2,1.051694
1024,957,3,1.104708
1536,424,1,0.860213
1536,424,2,0.831522
1536,424,3,0.840566
2048,238,1,0.935347
2048,238,2,0.926599
2048,238,3,0.932102
3072,106,1,1.262024
3072,106,2,1.206020
3072,106,3,1.308148
4096,59,1,1.732802
4096,59,2,1.759886
4096,59,3,1.763109
