variant,threshold,run,ns_per_element
jump,0,1,0.6150
jump,16,1,1.1714
jump,32,1,1.6406
jump,48,1,2.0885
jump,64,1,2.6942
jump,80,1,3.4386
jump,96,1,4.2599
jump,112,1,4.7136
jump,128,1,4.9487
jump,144,1,4.3900
jump,160,1,3.8749
jump,176,1,3.3560
jump,192,1,2.7469
jump,208,1,2.3668
jump,224,1,1.8468
jump,240,1,1.2384
jump,256,1,0.5173
jump_sorted,128,1,0.4344
O2,128,1,0.3192
O2_sorted,128,1,0.3578
jump,0,2,0.5232
jump,16,2,1.2599
jump,32,2,1.8110
jump,48,2,2.2763
jump,64,2,2.7227
jump,80,2,3.1099
jump,96,2,3.5714
jump,112,2,4.1912
jump,128,2,4.6586
jump,144,2,4.4632
jump,160,2,4.0968
jump,176,2,3.5896
jump,192,2,3.0695
jump,208,2,2.4747
jump,224,2,2.0166
jump,240,2,1.4013
jump,256,2,0.6326
jump_sorted,128,2,0.5075
O2,128,2,0.3509
O2_sorted,128,2,0.3318
jump,0,3,0.5154
jump,16,3,1.1840
jump,32,3,1.6417
jump,48,3,2.2159
jump,64,3,2.7232
jump,80,3,3.2768
jump,96,3,4.0740
jump,112,3,5.0398
jump,128,3,4.8885
jump,144,3,4.4186
jump,160,3,3.7844
jump,176,3,3.6067
jump,192,3,3.1684
jump,208,3,2.3634
jump,224,3,2.0498
jump,240,3,1.5306
jump,256,3,0.6178
jump_sorted,128,3,0.6037
O2,128,3,0.3642
O2_sorted,128,3,0.3708
jump,0,4,0.6794
jump,16,4,1.2665
jump,32,4,1.6867
jump,48,4,2.2915
jump,64,4,2.8497
jump,80,4,3.2861
jump,96,4,3.8583
jump,112,4,4.7309
jump,128,4,4.8836
jump,144,4,4.2926
jump,160,4,3.7221
jump,176,4,3.3160
jump,192,4,3.0503
jump,208,4,2.3633
jump,224,4,1.9167
jump,240,4,1.3118
jump,256,4,0.5486
jump_sorted,128,4,0.4620
O2,128,4,0.3464
O2_sorted,128,4,0.3480
jump,0,5,0.6226
jump,16,5,1.1136
jump,32,5,1.6422
jump,48,5,2.0946
jump,64,5,2.5577
jump,80,5,3.2397
jump,96,5,4.0488
jump,112,5,4.5216
jump,128,5,4.6678
jump,144,5,4.2992
jump,160,5,3.9831
jump,176,5,3.2801
jump,192,5,2.7826
jump,208,5,2.2504
jump,224,5,1.8410
jump,240,5,1.2619
jump,256,5,0.5650
jump_sorted,128,5,0.5799
O2,128,5,0.3458
O2_sorted,128,5,0.3472
