period,run,ns_per_element
2,1,0.3890
4,1,0.9403
8,1,0.9790
16,1,1.0336
32,1,1.0576
64,1,1.0486
128,1,1.0152
256,1,1.1495
512,1,1.0533
1024,1,1.8243
2048,1,4.2994
4096,1,5.1287
8192,1,5.0875
16384,1,5.0128
32768,1,5.1213
65536,1,5.3117
131072,1,5.1933
262144,1,5.1081
524288,1,5.1946
1048576,1,5.2425
2,2,0.3681
4,2,0.8416
8,2,0.9700
16,2,0.9827
32,2,1.0903
64,2,1.0545
128,2,1.0277
256,2,1.0527
512,2,1.0510
1024,2,1.7807
2048,2,3.7185
4096,2,4.5146
8192,2,4.9243
16384,2,5.0460
32768,2,5.0704
65536,2,5.2737
131072,2,5.1898
262144,2,5.1737
524288,2,5.1205
1048576,2,5.1632
2,3,0.3847
4,3,0.8631
8,3,0.9595
16,3,1.0925
32,3,1.0943
64,3,1.0473
128,3,1.0187
256,3,1.0658
512,3,1.0573
1024,3,1.7564
2048,3,3.7003
4096,3,4.4862
8192,3,4.8966
16384,3,5.0349
32768,3,5.7083
65536,3,5.4780
131072,3,5.3182
262144,3,5.3095
524288,3,5.2069
1048576,3,5.5441
