version,n,steps,run,mlups
v1,256,15500,1,1429.8
v2,256,15500,1,1316.9
v1,256,15500,2,1322.3
v2,256,15500,2,1347.3
v1,256,15500,3,1448.5
v2,256,15500,3,1349.7
v1,512,3844,1,1381.3
v2,512,3844,1,1371.7
v1,512,3844,2,1448.3
v2,512,3844,2,1432.7
v1,512,3844,3,1441.2
v2,512,3844,3,1392.4
v1,1024,957,1,990.3
v2,1024,957,1,1039.0
v1,1024,957,2,957.4
v2,1024,957,2,987.3
v1,1024,957,3,948.5
v2,1024,957,3,1022.5
v1,2048,238,1,1113.6
v2,2048,238,1,1310.3
v1,2048,238,2,1115.9
v2,2048,238,2,1304.7
v1,2048,238,3,1143.0
v2,2048,238,3,1268.7
v1,4096,59,1,575.9
v2,4096,59,1,754.2
v1,4096,59,2,563.9
v2,4096,59,2,732.5
v1,4096,59,3,572.3
v2,4096,59,3,746.2
v1,6144,26,1,514.3
v2,6144,26,1,678.6
v1,6144,26,2,521.3
v2,6144,26,2,668.1
v1,6144,26,3,529.0
v2,6144,26,3,680.9
