variant,run,level,n,GFLOPs
scalar,1,L1,1024,4.28
scalar,1,L2,32768,3.60
scalar,1,memory,16777216,1.19
v128,1,L1,1024,7.37
v128,1,L2,32768,6.74
v128,1,memory,16777216,1.40
v256,1,L1,1024,13.16
v256,1,L2,32768,7.10
v256,1,memory,16777216,1.60
v512,1,L1,1024,23.74
v512,1,L2,32768,7.40
v512,1,memory,16777216,1.59
intrin,1,L1,1024,7.50
intrin,1,L2,32768,6.81
intrin,1,memory,16777216,1.40
scalar,2,L1,1024,4.32
scalar,2,L2,32768,3.64
scalar,2,memory,16777216,1.23
v128,2,L1,1024,7.43
v128,2,L2,32768,6.68
v128,2,memory,16777216,1.37
v256,2,L1,1024,13.17
v256,2,L2,32768,7.07
v256,2,memory,16777216,1.59
v512,2,L1,1024,23.38
v512,2,L2,32768,7.19
v512,2,memory,16777216,1.59
intrin,2,L1,1024,7.48
intrin,2,L2,32768,6.71
intrin,2,memory,16777216,1.40
scalar,3,L1,1024,4.30
scalar,3,L2,32768,3.63
scalar,3,memory,16777216,1.25
v128,3,L1,1024,7.53
v128,3,L2,32768,6.73
v128,3,memory,16777216,1.42
v256,3,L1,1024,13.11
v256,3,L2,32768,7.06
v256,3,memory,16777216,1.60
v512,3,L1,1024,21.93
v512,3,L2,32768,7.27
v512,3,memory,16777216,1.61
intrin,3,L1,1024,7.49
intrin,3,L2,32768,6.70
intrin,3,memory,16777216,1.39
