version,n,run,mlups
v1,256,1,1295.6
v2,256,1,1250.6
v3_v128,256,1,2361.0
v3_v512,256,1,3222.7
v1,256,2,1385.1
v2,256,2,1279.3
v3_v128,256,2,2399.4
v3_v512,256,2,3253.5
v1,256,3,1386.5
v2,256,3,1269.6
v3_v128,256,3,2300.9
v3_v512,256,3,3263.5
v1,512,1,1284.2
v2,512,1,1323.5
v3_v128,512,1,1977.5
v3_v512,512,1,2478.7
v1,512,2,1337.4
v2,512,2,1245.6
v3_v128,512,2,1985.5
v3_v512,512,2,2526.7
v1,512,3,1239.4
v2,512,3,1277.3
v3_v128,512,3,1938.3
v3_v512,512,3,2422.5
v1,1024,1,936.8
v2,1024,1,979.0
v3_v128,1024,1,1448.9
v3_v512,1024,1,1549.1
v1,1024,2,955.7
v2,1024,2,983.8
v3_v128,1024,2,1449.5
v3_v512,1024,2,1608.1
v1,1024,3,929.3
v2,1024,3,961.8
v3_v128,1024,3,1434.4
v3_v512,1024,3,1576.6
v1,2048,1,970.8
v2,2048,1,801.3
v3_v128,2048,1,1025.6
v3_v512,2048,1,925.1
v1,2048,2,687.3
v2,2048,2,793.7
v3_v128,2048,2,1370.7
v3_v512,2048,2,1267.5
v1,2048,3,957.1
v2,2048,3,885.1
v3_v128,2048,3,1382.0
v3_v512,2048,3,1012.6
v1,4096,1,521.1
v2,4096,1,715.5
v3_v128,4096,1,811.8
v3_v512,4096,1,824.8
v1,4096,2,532.3
v2,4096,2,717.1
v3_v128,4096,2,803.1
v3_v512,4096,2,854.8
v1,4096,3,526.1
v2,4096,3,712.8
v3_v128,4096,3,812.1
v3_v512,4096,3,832.5
v1,6144,1,479.0
v2,6144,1,625.4
v3_v128,6144,1,605.2
v3_v512,6144,1,710.4
v1,6144,2,488.9
v2,6144,2,642.8
v3_v128,6144,2,723.9
v3_v512,6144,2,745.3
v1,6144,3,498.5
v2,6144,3,649.6
v3_v128,6144,3,722.0
v3_v512,6144,3,744.5
