build,run,function,ns_per_add,sum
strict,1,plain,0.6940,8.8951038969662903
strict,1,simd,0.3584,8.8951038969663223
fast,1,plain,0.3442,8.8951038969663223
fast,1,simd,0.3433,8.8951038969663223
strict,2,plain,0.6971,8.8951038969662903
strict,2,simd,0.3604,8.8951038969663223
fast,2,plain,0.3436,8.8951038969663223
fast,2,simd,0.3398,8.8951038969663223
strict,3,plain,0.6968,8.8951038969662903
strict,3,simd,0.3591,8.8951038969663223
fast,3,plain,0.3428,8.8951038969663223
fast,3,simd,0.3488,8.8951038969663223
