build,run,kernel,ns_per_element
scalar,1,particles_aos,1.1185
scalar,1,particles_soa,1.1349
scalar,1,relu,1.1268
scalar,1,axpy_double,0.4558
scalar,1,axpy_float,0.4254
v128,1,particles_aos,0.8974
v128,1,particles_soa,0.6308
v128,1,relu,0.2302
v128,1,axpy_double,0.2216
v128,1,axpy_float,0.1319
v512,1,particles_aos,0.8731
v512,1,particles_soa,0.3599
v512,1,relu,0.1166
v512,1,axpy_double,0.0775
v512,1,axpy_float,0.0789
scalar,2,particles_aos,1.1030
scalar,2,particles_soa,1.0768
scalar,2,relu,1.1092
scalar,2,axpy_double,0.4573
scalar,2,axpy_float,0.4152
v128,2,particles_aos,0.8874
v128,2,particles_soa,0.6231
v128,2,relu,0.2349
v128,2,axpy_double,0.2245
v128,2,axpy_float,0.1256
v512,2,particles_aos,0.8485
v512,2,particles_soa,0.3562
v512,2,relu,0.1167
v512,2,axpy_double,0.0763
v512,2,axpy_float,0.0783
scalar,3,particles_aos,1.1264
scalar,3,particles_soa,1.1096
scalar,3,relu,1.1426
scalar,3,axpy_double,0.4617
scalar,3,axpy_float,0.4239
v128,3,particles_aos,0.9223
v128,3,particles_soa,0.6431
v128,3,relu,0.2349
v128,3,axpy_double,0.2193
v128,3,axpy_float,0.1252
v512,3,particles_aos,0.9146
v512,3,particles_soa,0.3703
v512,3,relu,0.1192
v512,3,axpy_double,0.0790
v512,3,axpy_float,0.0791
