mode,run,expected,got,ns
plain,1,40000000,26193499,2.29
atomic,1,40000000,40000000,8.54
mutex,1,40000000,40000000,20.17
plain,2,40000000,21916875,2.23
atomic,2,40000000,40000000,8.38
mutex,2,40000000,40000000,20.32
plain,3,40000000,29641261,2.22
atomic,3,40000000,40000000,8.52
mutex,3,40000000,40000000,20.11
plain,4,40000000,26465566,2.23
atomic,4,40000000,40000000,8.55
mutex,4,40000000,40000000,20.14
plain,5,40000000,26606666,2.26
atomic,5,40000000,40000000,8.44
mutex,5,40000000,40000000,20.13
