threads,kind,value
1,sequential,16.695311365857272
1,reduction,16.695311365857272
1,reproducible,16.695311365859862
1,task_sum,16.69531136585984
2,sequential,16.695311365857272
2,reduction,16.695311365858508
2,reproducible,16.695311365859862
2,task_sum,16.69531136585984
3,sequential,16.695311365857272
3,reduction,16.695311365859002
3,reproducible,16.695311365859862
3,task_sum,16.69531136585984
4,sequential,16.695311365857272
4,reduction,16.695311365859041
4,reproducible,16.695311365859862
4,task_sum,16.69531136585984
8,sequential,16.695311365857272
8,reduction,16.695311365859222
8,reproducible,16.695311365859862
8,task_sum,16.69531136585984
16,sequential,16.695311365857272
16,reduction,16.695311365859798
16,reproducible,16.695311365859862
16,task_sum,16.69531136585984
