kind,run,bytes,microseconds
pipe,1,8,1.253
pipe,1,32,1.324
pipe,1,128,1.287
pipe,1,512,1.285
pipe,1,2048,1.325
pipe,1,8192,1.555
pipe,1,32768,4.807
pipe,1,131072,17.582
pipe,1,524288,70.747
pipe,1,2097152,402.072
unix,1,8,2.249
unix,1,32,2.097
unix,1,128,2.065
unix,1,512,2.164
unix,1,2048,2.260
unix,1,8192,2.540
unix,1,32768,4.288
unix,1,131072,13.895
unix,1,524288,51.869
unix,1,2097152,295.508
tcp,1,8,3.866
tcp,1,32,4.074
tcp,1,128,3.564
tcp,1,512,3.474
tcp,1,2048,3.558
tcp,1,8192,3.816
tcp,1,32768,5.557
tcp,1,131072,16.369
tcp,1,524288,55.328
tcp,1,2097152,804.240
pipe,2,8,1.364
pipe,2,32,1.866
pipe,2,128,1.288
pipe,2,512,1.323
pipe,2,2048,1.334
pipe,2,8192,1.529
pipe,2,32768,4.790
pipe,2,131072,17.319
pipe,2,524288,70.455
pipe,2,2097152,360.950
unix,2,8,2.236
unix,2,32,2.122
unix,2,128,2.073
unix,2,512,2.266
unix,2,2048,2.216
unix,2,8192,2.565
unix,2,32768,4.415
unix,2,131072,12.566
unix,2,524288,52.685
unix,2,2097152,316.735
tcp,2,8,4.047
tcp,2,32,3.609
tcp,2,128,3.609
tcp,2,512,3.572
tcp,2,2048,3.814
tcp,2,8192,3.985
tcp,2,32768,6.014
tcp,2,131072,16.198
tcp,2,524288,57.588
tcp,2,2097152,769.054
pipe,3,8,1.250
pipe,3,32,1.295
pipe,3,128,1.283
pipe,3,512,1.276
pipe,3,2048,1.289
pipe,3,8192,1.526
pipe,3,32768,4.696
pipe,3,131072,17.488
pipe,3,524288,74.028
pipe,3,2097152,387.561
unix,3,8,2.049
unix,3,32,2.133
unix,3,128,2.063
unix,3,512,2.188
unix,3,2048,2.408
unix,3,8192,2.652
unix,3,32768,4.499
unix,3,131072,12.763
unix,3,524288,49.176
unix,3,2097152,283.134
tcp,3,8,3.520
tcp,3,32,3.557
tcp,3,128,3.471
tcp,3,512,3.469
tcp,3,2048,3.569
tcp,3,8192,3.930
tcp,3,32768,5.532
tcp,3,131072,16.103
tcp,3,524288,55.690
tcp,3,2097152,745.337
