kind,server,trial,value
rtt_ms,https://github.com/,1,43.6
rtt_ms,https://github.com/,2,36.0
rtt_ms,https://github.com/,3,38.8
rtt_ms,https://github.com/,4,34.9
rtt_ms,https://github.com/,5,36.3
rtt_ms,https://pypi.org/simple/,1,34.7
rtt_ms,https://pypi.org/simple/,2,44.1
rtt_ms,https://pypi.org/simple/,3,36.1
rtt_ms,https://pypi.org/simple/,4,35.6
rtt_ms,https://pypi.org/simple/,5,34.7
rtt_ms,https://registry.npmjs.org/,1,36.5
rtt_ms,https://registry.npmjs.org/,2,26.5
rtt_ms,https://registry.npmjs.org/,3,24.6
rtt_ms,https://registry.npmjs.org/,4,29.3
rtt_ms,https://registry.npmjs.org/,5,30.6
download_MBps,https://pypi.org/simple/,1,125.9
download_MBps,https://pypi.org/simple/,2,95.9
download_MBps,https://pypi.org/simple/,3,95.0
