algorithm,n,processes,wrong,max_received,total_received,seconds
1d,720,1,0,0,0,1.739
1d,720,4,0,388800,1555200,1.690
1d,720,9,0,460800,4147200,1.623
1d,720,16,0,486000,7776000,1.668
cannon,720,1,0,0,0,1.659
cannon,720,4,0,518400,1555200,1.671
cannon,720,9,0,345600,2764800,1.668
cannon,720,16,0,259200,3888000,1.646
fox,720,1,0,0,0,1.636
fox,720,4,0,259200,1036800,1.629
fox,720,9,0,230400,2073600,1.637
fox,720,16,0,194400,3110400,1.654
summa,720,1,0,0,0,1.627
summa,720,4,0,259200,1036800,1.641
summa,720,9,0,230400,2073600,1.650
summa,720,16,0,194400,3110400,1.637
cannon-overlap,720,1,0,0,0,1.695
cannon-overlap,720,4,0,518400,1555200,1.682
cannon-overlap,720,9,0,345600,2764800,1.661
cannon-overlap,720,16,0,259200,3888000,1.617
summa,720,2,0,259200,518400,1.637
summa,720,6,0,259200,1555200,1.640
summa,720,8,0,259200,2073600,1.634
