trial,rtt_ms,error_ms,bound_ms
0,11.167,-3.139,5.583
1,11.405,-0.786,5.702
2,3.480,-0.822,1.740
3,21.038,-7.718,10.519
4,14.314,-4.487,7.157
5,6.446,-2.005,3.223
6,19.766,-7.760,9.883
7,14.318,-5.251,7.159
8,19.867,-6.832,9.933
9,23.026,-7.728,11.513
10,15.018,-6.213,7.509
11,17.989,-5.778,8.994
12,21.831,-6.183,10.916
13,12.203,-2.349,6.101
14,13.400,-3.114,6.700
15,0.753,0.037,0.377
16,9.891,-0.616,4.945
17,21.785,-7.133,10.892
18,9.642,-2.802,4.821
19,7.020,-3.185,3.510
20,21.682,-7.727,10.841
21,14.197,-3.539,7.098
22,11.183,-5.432,5.591
23,14.035,-4.497,7.017
24,14.750,-4.228,7.375
25,23.244,-6.892,11.622
26,20.911,-8.729,10.455
27,3.625,-0.585,1.813
28,15.588,-3.453,7.794
29,22.870,-8.453,11.435
30,17.087,-6.709,8.543
31,17.197,-5.588,8.599
32,6.556,-1.364,3.278
33,10.000,-2.646,5.000
34,2.690,1.097,1.345
35,4.451,-0.299,2.226
36,5.238,1.057,2.619
37,2.677,0.022,1.339
38,13.407,-3.788,6.704
39,21.361,-7.893,10.680
