skew_ms,key,value
0,processes,4
0,events,276
0,messages,116
0,happened_before_pairs,32827
0,lamport_violations,0
0,concurrent_pairs,5123
0,concurrent_with_different_lamport,4739
0,received_before_sent_by_wall_clock,0
0,hlc_violations,0
0,hlc_max_ahead_us,0
0,hlc_max_counter,4
2,processes,4
2,events,276
2,messages,116
2,happened_before_pairs,32853
2,lamport_violations,0
2,concurrent_pairs,5097
2,concurrent_with_different_lamport,4729
2,received_before_sent_by_wall_clock,58
2,hlc_violations,0
2,hlc_max_ahead_us,5998
2,hlc_max_counter,11
20,processes,4
20,events,276
20,messages,116
20,happened_before_pairs,32667
20,lamport_violations,0
20,concurrent_pairs,5283
20,concurrent_with_different_lamport,4940
20,received_before_sent_by_wall_clock,58
20,hlc_violations,0
20,hlc_max_ahead_us,59994
20,hlc_max_counter,18
